feature,importance
num__writing_quality_score,0.31692412
num__shape_similarity_score,0.27955863
num__alignment_score,0.030563531
num__crowding_score,0.028300859
num__spacing_variance,0.028067516
cat__task_type_letter_copy,0.022757616
num__size_variance,0.019451912
num__shape_error_count,0.016959028
num__reversal_count,0.013415774
cat__target_text_q,0.012977593
num__writing_duration_sec,0.011805876
num__reversal_flag,0.011381977
num__avg_stroke_length,0.011381329
num__spacing_error_count,0.01062068
num__stroke_count,0.009937194
num__baseline_deviation,0.0087749865
num__alignment_error_count,0.0076539796
num__bounding_box_area,0.0073241857
cat__school_type_urban_public,0.0070190346
cat__device_type_tablet_stylus,0.0068467385
num__image_width,0.006780921
cat__native_language_Sinhala,0.006530343
cat__support_level_none,0.006053559
num__pen_lift_count,0.0056201937
num__contour_irregularity,0.005546229
num__pixel_density,0.0055154255
cat__target_text_school,0.0053872378
cat__school_type_rural_public,0.004948802
num__image_height,0.004867704
cat__support_level_basic,0.004728722
num__aspect_ratio,0.0047247214
num__average_character_spacing,0.004689533
cat__target_text_p,0.0042465036
num__self_correction_flag,0.004154401
cat__target_text_cat,0.004096816
num__stroke_thickness,0.0039583184
num__hesitation_score,0.003957279
num__environment_noise_level,0.003755745
num__age,0.0036272295
cat__task_type_write_from_memory,0.00356872
num__avg_stroke_speed,0.0034399852
cat__device_type_tablet_finger,0.003438213
num__slant_angle,0.0034113894
cat__target_text_pig,0.0032064512
cat__school_type_private,0.0031830543
cat__device_type_paper_camera,0.002892966
cat__time_of_day_afternoon,0.0027511267
cat__target_text_sun,0.002726878
cat__target_text_bat,0.0026815233
cat__task_type_letter_trace,0.0026420136
num__retry_count,0.0022914377
cat__target_text_dog,0.0022108532
cat__target_text_b,0.0016463348
cat__task_type_word_copy,0.0014720414
cat__support_level_guided,0.0013020366
cat__task_type_simple_dictation,0.0009830968
cat__difficulty_level_medium,0.00093982724
cat__target_text_basket,0.00029977938
num__task_completion_status,0.0
cat__target_text_bag,0.0
cat__target_text_bad,0.0
cat__difficulty_level_easy,0.0
cat__target_text_d,0.0
cat__target_text_bed,0.0
cat__target_text_butterfly,0.0
cat__assessment_language_English,0.0
cat__native_language_Tamil,0.0
cat__difficulty_level_hard,0.0
cat__time_of_day_morning,0.0
